2007.05.02 16:09 B V:\TBH Website Temp\kids\images\hunting\mankilledbison-sm.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting mankilledbison-sm.jpg
2007.05.02 16:09 B V:\TBH Website Temp\kids\images\hunting\mankilledbison.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting mankilledbison.html
2007.05.02 16:09 B V:\TBH Website Temp\kids\images\hunting\MB18-bifaces-lg.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting MB18-bifaces-lg.jpg
2007.05.02 16:09 B V:\TBH Website Temp\kids\images\hunting\MB18-bifaces-sm.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting MB18-bifaces-sm.jpg
2007.05.02 16:09 B V:\TBH Website Temp\kids\images\hunting\MB18-bifaces.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting MB18-bifaces.html
2007.05.02 16:09 B V:\TBH Website Temp\kids\images\hunting\mural2-lg.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting mural2-lg.jpg
2007.05.02 16:09 B V:\TBH Website Temp\kids\images\hunting\mural2-sm.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting mural2-sm.jpg
2007.05.02 16:09 B V:\TBH Website Temp\kids\images\hunting\mural2.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting mural2.html
2007.05.02 16:09 B V:\TBH Website Temp\kids\images\hunting\net-lg.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting net-lg.jpg
2007.05.02 16:09 B V:\TBH Website Temp\kids\images\hunting\net-sm.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting net-sm.jpg
2007.05.02 16:09 B V:\TBH Website Temp\kids\images\hunting\net.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting net.html
2007.05.02 16:09 B V:\TBH Website Temp\kids\images\hunting\rabbitstick.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting rabbitstick.jpg
2007.05.02 16:09 B V:\TBH Website Temp\kids\images\hunting\rabbitstick2-lg.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting rabbitstick2-lg.jpg
2007.05.02 16:09 B V:\TBH Website Temp\kids\images\hunting\rabbitstick2-sm.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting rabbitstick2-sm.jpg
2007.05.02 16:09 B V:\TBH Website Temp\kids\images\hunting\rabbitstick2.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting rabbitstick2.html
2007.05.02 16:09 B V:\TBH Website Temp\kids\images\hunting\sb6-lg.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting sb6-lg.jpg
2007.05.02 16:09 B V:\TBH Website Temp\kids\images\hunting\sb6-sm.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting sb6-sm.jpg
2007.05.02 16:09 B V:\TBH Website Temp\kids\images\hunting\sb6.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting sb6.html
2007.05.02 16:09 B V:\TBH Website Temp\kids\images\hunting\scissorsnare-lg.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting scissorsnare-lg.jpg
